[2026-05-12 08:34:50] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-12 08:34:57] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-12 12:46:18] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/admin/api_notifications.php, Method=POST, Action=create, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-12 12:46:51] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/admin/api_notifications.php, Method=POST, Action=create, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-12 12:47:03] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/admin/api_notifications.php, Method=POST, Action=create, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-12 12:47:08] CSRF FAIL: SID=352vkj5ha5dkklue76huppf7u9, URI=/admin/api_notifications.php, Method=POST, Action=create, TokenRecv=EMPTY, TokenSess=d89d59fd...
[2026-05-13 05:04:33] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:04:36] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:05:28] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:09:12] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:09:49] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:09:51] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:09:52] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:12:13] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:12:14] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=get_cart, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:12:22] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
[2026-05-13 05:17:15] CSRF FAIL: SID=ibpr73te3hjv86g307lkvff5vn, URI=/api/cart.php, Method=POST, Action=count, TokenRecv=EMPTY, TokenSess=a00bc8d8...
